method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.92877,2.77318,2.24510,11.99462
EXTR,0.92282,2.66829,2.09579,7.48981
RETV,0.93507,2.90101,2.38576,13.49043
ALL_A09,0.93313,2.85532,2.32495,13.31074
DAT_full,0.93066,2.82509,2.29078,10.09676
DAT_one,0.93274,2.84080,2.31972,12.31934
NASTAR_A09_K250,0.93627,2.88714,2.38158,14.94309
GT,0.92149,2.67798,2.10122,9.01901
TEST,0.94144,3.02240,2.56751,15.45660
