method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.85583,2.20323,1.71927,10.72547
EXTR,0.87514,2.36817,1.86182,11.78719
RETV,0.86941,2.34888,1.82519,11.30014
ALL_A09,0.87275,2.37144,1.88427,11.55236
DAT_full,0.83893,2.02100,1.51103,9.76461
DAT_one,0.86197,2.29181,1.75827,11.06827
NASTAR_A09_K250,0.87548,2.38518,1.88421,11.55450
GT,0.87653,2.36693,1.89597,11.99772
TEST,0.87852,2.43367,2.01019,11.80574
