method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.90692,2.62894,2.03745,11.37525
EXTR,0.87950,2.26934,1.68377,8.80701
RETV,0.91758,2.77729,2.18757,12.09852
ALL_A09,0.91436,2.70388,2.11701,11.92063
DAT_full,0.90640,2.63496,2.04626,11.44966
DAT_one,0.91203,2.68014,2.08684,11.68462
NASTAR_A09_K250,0.91822,2.76161,2.17824,11.99096
GT,0.87515,2.23061,1.64748,8.51279
TEST,0.91552,2.78753,2.20113,11.78018
