method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.92281,2.79420,2.23247,12.67239
EXTR,0.89636,2.37825,1.55358,4.54242
RETV,0.92946,2.92062,2.35262,13.18476
ALL_A09,0.92815,2.87053,2.29744,13.11651
DAT_full,0.92323,2.83246,2.24304,12.46018
DAT_one,0.92720,2.86005,2.28158,12.98102
NASTAR_A09_K250,0.92973,2.92488,2.35540,13.25115
GT,0.90362,2.47352,1.72059,7.44856
TEST,0.90866,2.66297,2.12401,11.73944
