method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.82368,2.04075,1.55543,7.62847
EXTR,0.80381,1.92607,1.41644,6.37761
RETV,0.83250,2.09775,1.60095,7.99680
ALL_A09,0.83119,2.07121,1.58154,7.95245
DAT_full,0.82844,2.05080,1.54427,8.04138
DAT_one,0.83190,2.08773,1.58190,8.05153
NASTAR_A09_K250,0.83395,2.09297,1.59788,7.99696
GT,0.80359,1.91764,1.41755,6.38812
TEST,0.86124,2.31068,1.82725,9.63856
