method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.9199,3.3711,2.6249,17.5752
DAT_one_vcb,0.9215,3.3794,2.6258,17.4182
DAT_full_vcb,0.9094,3.2511,2.5492,16.7324
TEST,0.9348,3.5684,2.9624,19.4992
EXTR,0.9144,3.2114,2.4666,14.9499
GT,0.9167,3.2485,2.5370,16.3388
ALL_A09,0.9225,3.4186,2.7565,18.4044
RETV,0.9244,3.4380,2.7154,18.3673
NASTAR_A09_K250,0.9244,3.4280,2.7356,18.6476
