method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.8815,2.8496,2.1469,17.6623
DAT_one_vcb,0.8823,2.8694,2.1263,17.8753
DAT_full_vcb,0.8712,2.5442,1.7209,15.5812
TEST,0.9017,3.0561,2.3984,18.9691
EXTR,0.8914,2.9047,2.1520,18.6487
GT,0.8929,2.9062,2.1643,18.7776
ALL_A09,0.8905,2.9330,2.2211,18.2512
RETV,0.8883,2.9469,2.2301,18.1033
NASTAR_A09_K250,0.8928,2.9482,2.2367,18.2684
