method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.8862,2.8116,2.0247,16.4004
DAT_one_vcb,0.8897,2.8017,1.9717,16.9236
DAT_full_vcb,0.8840,2.7615,1.9035,16.1574
TEST,0.9111,3.0662,2.3690,18.5652
EXTR,0.8771,2.6580,1.8372,15.9827
GT,0.8779,2.6576,1.8550,16.1166
ALL_A09,0.8903,2.8260,2.0453,16.8602
RETV,0.8913,2.8672,2.1136,17.1955
NASTAR_A09_K250,0.8916,2.8655,2.1009,17.2072
