method,stoi,pesq_nb,pesq_wb,sisdr
PTN,0.9250,3.4061,2.6395,16.8882
DAT_one_vcb,0.9276,3.4170,2.6419,17.2144
DAT_full_vcb,0.9089,3.0483,2.2654,15.9469
TEST,0.9364,3.5641,2.8681,19.4694
EXTR,0.9113,3.1036,2.3436,17.3962
GT,0.9106,3.0888,2.3139,17.2334
ALL_A09,0.9287,3.4225,2.7156,17.4977
RETV,0.9282,3.4949,2.7645,18.2736
NASTAR_A09_K250,0.9300,3.4602,2.7327,18.0286
